FIN.TRANSACTION DATE,FIN.POSTING DATE,FIN.TRANSACTION AMOUNT,MCH.MERCHANT NAME,MCH.CITY NAME,FIN.ORIGINAL CURRENCY AMOUNT,FIN.ORIGINAL ISO CURRENCY CODE SYMBOL,FIN.INET CONVERSION
2017-06-04,2017-07-04,36.55,TESCO STORE 2296,COLNEY HATCH,36.55,GBP,1.0
2017-06-04,2017-07-04,58.75,AMFBOWLING.CO.UK,01442 840200,58.75,GBP,1.0
2017-10-04,2017-11-04,40.5,WWW.GOJUMPIN.COM,INTERNET,40.5,GBP,1.0
2017-12-04,2017-04-13,23.9,AMFBOWLING.CO.UK,01442 840200,23.9,GBP,1.0
2017-12-04,2017-04-13,24.28,VUE BSL LTD,LONDON,24.28,GBP,1.0
2017-12-04,2017-04-13,93.92,B & M RETAIL,TOTTENHAM,93.92,GBP,1.0
2017-04-15,2017-04-17,58.0,WILKO.COM,0845 6080807,58.0,GBP,1.0
2017-04-18,2017-04-19,12.0,TESCO STORES 2296,COLNEY HATCH,12.0,GBP,1.0
2017-04-18,2017-04-19,11.5,ASDA SUPERSTORE,S'GATE CIRCUS,11.5,GBP,1.0
2017-04-18,2017-04-19,20.72,ASDA SUPERSTORE,S'GATE CIRCUS,20.72,GBP,1.0
2017-04-25,2017-04-26,90.21,HOMEBASE LTD 024,LONDON  N11,90.21,GBP,1.0
2017-04-28,2017-01-05,24.71,HOMEBASE LTD 024,LONDON  N11,24.71,GBP,1.0
2017-04-28,2017-01-05,-22.79,HOMEBASE LTD 024,LONDON  N11,-22.79,GBP,1.0
2017-04-27,2017-01-05,47.12,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,47.12,GBP,1.0
2017-09-04,2017-10-04,5.0,GIFFGAFF.COM,ONLINE STORE,5.0,GBP,1.0
2017-04-28,2017-01-05,5.0,GIFFGAFF.COM,ONLINE STORE,5.0,GBP,1.0
2017-04-04,2017-05-04,338.95,CURRYS,STEVENAGE,338.95,GBP,1.0
2017-04-04,2017-06-04,11.5,TFL ROAD CHARGE,0343 222 2222,11.5,GBP,1.0
2017-05-04,2017-07-04,11.5,TFL ROAD CHARGE,0343 222 2222,11.5,GBP,1.0
2017-11-04,2017-04-13,11.5,TFL ROAD CHARGE,0343 222 2222,11.5,GBP,1.0
2017-04-20,2017-04-21,14.0,SAINSBURYS 0567,LONDON COLNEY,14.0,GBP,1.0
2017-04-25,2017-04-26,355.0,PINKS FLORISTS SPIRES,BARNET,355.0,GBP,1.0
2017-04-25,2017-04-27,11.5,TFL ROAD CHARGE,0343 222 2222,11.5,GBP,1.0
2017-05-04,2017-07-04,620.92,ARGOS DIRECT,HOME SHOPPING,620.92,GBP,1.0
2017-11-04,2017-12-04,40.98,WWW.ARGOS.CO.UK,INTERNET,40.98,GBP,1.0
2017-12-04,2017-04-13,80.44,ARGOS RETAIL GROUP,INTERNET,80.44,GBP,1.0
2017-12-04,2017-04-13,124.99,ARGOS RETAIL GROUP,INTERNET,124.99,GBP,1.0
2017-12-04,2017-04-13,319.97,WWW.ARGOS.CO.UK,INTERNET,319.97,GBP,1.0
2017-04-13,2017-04-14,718.95,WWW.TWINSUK.CO.UK,01670 856996,718.95,GBP,1.0
2017-04-20,2017-04-24,103.94,WWW.ARGOS.CO.UK,INTERNET,103.94,GBP,1.0
2017-04-25,2017-04-26,115.2,PAYPAL  EDKHAULAGEL,35314369001,115.2,GBP,1.0
2017-04-26,2017-04-27,203.99,AO RETAIL LIMITED,.,203.99,GBP,1.0
2017-04-26,2017-04-27,375.0,ROC PRIVATE CLINIC,LONDON  W1G,375.0,GBP,1.0
2017-12-04,2017-04-13,344.98,CURRYS ONLINE,HEMEL HEMPSTE,344.98,GBP,1.0
2017-04-20,2017-04-21,48.5,ASDA GEORGE COM LEEDS,LEEDS,48.5,GBP,1.0
2017-04-30,2017-01-05,-48.5,ASDA GEORGE COM LEEDS,LEEDS,-48.5,GBP,1.0
2017-04-28,2017-01-05,34.5,ASDA GEORGE COM LEEDS,LEEDS,34.5,GBP,1.0
2017-05-04,2017-06-04,42.1,SAINSBURYS TO YOU 0637,HENDON,42.1,GBP,1.0
2017-10-04,2017-11-04,140.17,B & Q 1066,STANMORE,140.17,GBP,1.0
2017-12-04,2017-04-13,26.98,AMAZON UK MARKETPLACE,800-279-6620,26.98,GBP,1.0
2017-04-19,2017-04-20,21.45,SAINSBURYS LOC (4216),HENDON,21.45,GBP,1.0
2017-04-19,2017-04-20,122.26,BT PAY BY PHONE,DURHAM,122.26,GBP,1.0
2017-04-20,2017-04-21,31.98,AMAZON UK MARKETPLACE,800-279-6620,31.98,GBP,1.0
2017-04-20,2017-04-21,11.99,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,11.99,GBP,1.0
2017-04-20,2017-04-24,9.98,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,9.98,GBP,1.0
2017-04-27,2017-04-28,-11.99,AMZ AMAZON.CO.UK +44 2,AMAZON.CO.UK,-11.99,GBP,1.0
2017-06-04,2017-10-04,25.99,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,25.99,GBP,1.0
2017-04-24,2017-04-25,183.06,THE READING AGENCY,LONDON,183.06,GBP,1.0
2017-04-04,2017-05-04,438.0,WWW.,INTERNET,438.0,GBP,1.0
2017-10-04,2017-11-04,69.9,AMAZON UK MARKETPLACE,800-279-6620,69.9,GBP,1.0
2017-10-04,2017-11-04,29.99,AMAZON EU,AMAZON.CO.UK,29.99,GBP,1.0
2017-11-04,2017-12-04,336.0,WWW.,INTERNET,336.0,GBP,1.0
2017-11-04,2017-12-04,336.0,WWW.,INTERNET,336.0,GBP,1.0
